,loja,data,venda,loja_web,index,c_br,c_uy,s_al,s_am,s_ap,s_ba,s_ce,s_df,s_es,s_ex,s_go,s_ma,s_mg,s_ms,s_mt,s_pa,s_pb,s_pe,s_pi,s_pr,s_rj,s_rn,s_ro,s_rr,s_rs,s_sc,s_se,s_sp,s_to,week_of_year,year,store_avg,store_std,holiday,forecast
23,renner_ar_ex_4,2022-04-24,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,40.231404958677686,70.82546156227747,1,6.7412157
24,renner_ar_ex_4,2022-05-01,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,40.231404958677686,70.82546156227747,1,6.8912253
25,renner_ar_ex_4,2022-05-08,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,40.231404958677686,70.82546156227747,0,5.8053923
26,renner_ar_ex_4,2022-05-15,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,40.231404958677686,70.82546156227747,1,6.134477
27,renner_ar_ex_4,2022-05-22,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,40.231404958677686,70.82546156227747,0,5.223666
28,renner_ar_ex_4,2022-05-29,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,40.231404958677686,70.82546156227747,0,5.3277264
29,renner_br_ac_1,2022-04-10,146,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,157.64,85.04441433015532,0,130.30096
30,renner_br_ac_1,2022-04-17,100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,157.64,85.04441433015532,1,133.77913
31,renner_br_ac_1,2022-04-24,109,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,157.64,85.04441433015532,1,137.33578
32,renner_br_ac_1,2022-05-01,157,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,157.64,85.04441433015532,1,154.22023
33,renner_br_ac_1,2022-05-08,136,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,157.64,85.04441433015532,0,152.14378
34,renner_br_ac_1,2022-05-15,92,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,157.64,85.04441433015532,1,153.10217
35,renner_br_ac_1,2022-05-22,104,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,157.64,85.04441433015532,0,152.11
36,renner_br_ac_1,2022-05-29,120,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,157.64,85.04441433015532,0,164.32234
37,renner_br_al_21,2022-04-10,258,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,171.39636363636365,94.88013560653256,0,142.58461
38,renner_br_al_21,2022-04-17,182,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,171.39636363636365,94.88013560653256,1,146.13724
39,renner_br_al_21,2022-04-24,141,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,171.39636363636365,94.88013560653256,1,151.63376
40,renner_br_al_21,2022-05-01,160,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,171.39636363636365,94.88013560653256,1,169.76068
41,renner_br_al_21,2022-05-08,132,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,171.39636363636365,94.88013560653256,0,168.05658
42,renner_br_al_21,2022-05-15,102,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,171.39636363636365,94.88013560653256,1,168.67026
43,renner_br_al_21,2022-05-22,96,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,171.39636363636365,94.88013560653256,0,167.60631
44,renner_br_al_21,2022-05-29,97,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,171.39636363636365,94.88013560653256,0,181.23972
45,renner_br_al_25,2022-04-10,164,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,185.5890909090909,120.96133434327204,0,153.51955
46,renner_br_al_25,2022-04-17,141,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,185.5890909090909,120.96133434327204,1,155.65482
47,renner_br_al_25,2022-04-24,146,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,185.5890909090909,120.96133434327204,1,160.78278
48,renner_br_al_25,2022-05-01,196,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,185.5890909090909,120.96133434327204,1,176.18149
49,renner_br_al_25,2022-05-08,165,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,185.5890909090909,120.96133434327204,0,175.16019
